Tip Matrice,Nr threads,Timp executie,Timp executie (s)
Matrice 10x10,secvential,169540 ns,0.00017
Matrice 10x10,4,4178620 ns,0.004179
Matrice 10x10,4,4120050 ns,0.00412
Matrice 1000x1000,secvential,42570040 ns,0.04257
Matrice 1000x1000,2,32847250 ns,0.032847
Matrice 1000x1000,4,30015950 ns,0.030016
Matrice 1000x1000,8,30551090 ns,0.030551
Matrice 1000x1000,16,35191180 ns,0.035191
Matrice 1000x1000,2,31528220 ns,0.031528
Matrice 1000x1000,4,28582310 ns,0.028582
Matrice 1000x1000,8,30257470 ns,0.030257
Matrice 1000x1000,16,35442960 ns,0.035443
Matrice 10x10000,secvential,9695500 ns,0.009695
Matrice 10x10000,2,12314810 ns,0.012315
Matrice 10x10000,4,14115190 ns,0.014115
Matrice 10x10000,8,15059390 ns,0.015059
Matrice 10x10000,16,12899270 ns,0.012899
Matrice 10x10000,2,12447340 ns,0.012447
Matrice 10x10000,4,13904290 ns,0.013904
Matrice 10x10000,8,15274360 ns,0.015274
Matrice 10x10000,16,15345360 ns,0.015345
Matrice 10000x10,secvential,9323560 ns,0.009324
Matrice 10000x10,2,19382070 ns,0.019382
Matrice 10000x10,4,20903350 ns,0.020903
Matrice 10000x10,8,17788820 ns,0.017789
Matrice 10000x10,16,18095200 ns,0.018095
Matrice 10000x10,2,15406850 ns,0.015407
Matrice 10000x10,4,15768460 ns,0.015768
Matrice 10000x10,8,16448360 ns,0.016448
Matrice 10000x10,16,12903780 ns,0.012904
Matrice 10000x10000,secvential,3620772960 ns,3.620773
Matrice 10000x10000,2,1906509700 ns,1.90651
Matrice 10000x10000,4,1070517900 ns,1.070518
Matrice 10000x10000,8,788225390 ns,0.788225
Matrice 10000x10000,16,683378090 ns,0.683378
Matrice 10000x10000,2,2017023420 ns,2.017023
Matrice 10000x10000,4,1099330990 ns,1.099331
Matrice 10000x10000,8,795856150 ns,0.795856
Matrice 10000x10000,16,687997870 ns,0.687998
